Date,Open,High,Low,Close
"Aug 03, 1984",777.14,777.14,777.14,777.14
"Aug 06, 1984",779.29,779.29,779.29,779.29
"Aug 07, 1984",779.05,779.05,779.05,779.05
"Aug 08, 1984",776.86,776.86,776.86,776.86
"Aug 09, 1984",783.07,783.07,783.07,783.07
"Aug 10, 1984",779.28,779.28,779.28,779.28
"Aug 13, 1984",777.4,777.4,777.4,777.4
"Aug 14, 1984",782.27,782.27,782.27,782.27
"Aug 15, 1984",780.86,780.86,780.86,780.86
"Aug 16, 1984",784.93,784.93,784.93,784.93
"Aug 17, 1984",778.39,778.39,778.39,778.39
"Aug 20, 1984",773.46,773.46,773.46,773.46
"Aug 21, 1984",778.16,778.16,778.16,778.16
"Aug 22, 1984",784.31,784.31,784.31,784.31
"Aug 23, 1984",782.72,782.72,782.72,782.72
"Aug 24, 1984",788.38,788.38,788.38,788.38
"Aug 27, 1984",790.01,790.01,790.01,790.01
"Aug 28, 1984",789.34,789.34,789.34,789.34
"Aug 29, 1984",785.69,785.69,785.69,785.69
"Aug 30, 1984",784.02,784.02,784.02,784.02
"Aug 31, 1984",784.8,784.8,784.8,784.8
"Sep 03, 1984",784.8,784.8,784.8,784.8
"Sep 04, 1984",783.14,783.14,783.14,783.14
"Sep 05, 1984",781.32,781.32,781.32,781.32
"Sep 06, 1984",786.03,786.03,786.03,786.03
"Sep 07, 1984",780.63,780.63,780.63,780.63
"Sep 10, 1984",786.69,786.69,786.69,786.69
"Sep 11, 1984",785.37,785.37,785.37,785.37
"Sep 12, 1984",785.76,785.76,785.76,785.76
"Sep 13, 1984",782.33,782.33,782.33,782.33
"Sep 14, 1984",781.36,781.36,781.36,781.36
"Sep 17, 1984",777.43,777.43,777.43,777.43
"Sep 18, 1984",779.96,779.96,779.96,779.96
"Sep 19, 1984",783.95,783.95,783.95,783.95
"Sep 20, 1984",782.71,782.71,782.71,782.71
"Sep 21, 1984",781.86,781.86,781.86,781.86
"Sep 24, 1984",780.19,780.19,780.19,780.19
"Sep 25, 1984",781.88,781.88,781.88,781.88
"Sep 26, 1984",781.39,781.39,781.39,781.39
"Sep 27, 1984",781.13,781.13,781.13,781.13
"Sep 28, 1984",778.64,778.64,778.64,778.64
"Oct 01, 1984",782.09,782.09,782.09,782.09
"Oct 02, 1984",782.61,782.61,782.61,782.61
"Oct 03, 1984",782.7,782.7,782.7,782.7
"Oct 04, 1984",783.01,783.01,783.01,783.01
"Oct 05, 1984",779.51,779.51,779.51,779.51
"Oct 08, 1984",779.21,779.21,779.21,779.21
"Oct 09, 1984",781.07,781.07,781.07,781.07
"Oct 10, 1984",780.8,780.8,780.8,780.8
"Oct 11, 1984",780.69,780.69,780.69,780.69
"Oct 12, 1984",777.91,777.91,777.91,777.91
"Oct 15, 1984",776.68,776.68,776.68,776.68
"Oct 16, 1984",776.16,776.16,776.16,776.16
"Oct 17, 1984",768.08,768.08,768.08,768.08
"Oct 18, 1984",762.69,762.69,762.69,762.69
"Oct 19, 1984",761.04,761.04,761.04,761.04
"Oct 22, 1984",768.54,768.54,768.54,768.54
"Oct 23, 1984",771.31,771.31,771.31,771.31
"Oct 24, 1984",776.67,776.67,776.67,776.67
"Oct 25, 1984",777.53,777.53,777.53,777.53
"Oct 26, 1984",779.56,779.56,779.56,779.56
"Oct 29, 1984",774.38,774.38,774.38,774.38
"Oct 30, 1984",774.2,774.2,774.2,774.2
"Oct 31, 1984",782.2,782.2,782.2,782.2
"Nov 01, 1984",788.77,788.77,788.77,788.77
"Nov 02, 1984",784.89,784.89,784.89,784.89
"Nov 05, 1984",785.58,785.58,785.58,785.58
"Nov 06, 1984",788.61,788.61,788.61,788.61
"Nov 07, 1984",790.31,790.31,790.31,790.31
"Nov 08, 1984",793.6,793.6,793.6,793.6
"Nov 09, 1984",791.93,791.93,791.93,791.93
"Nov 12, 1984",791.24,791.24,791.24,791.24
"Nov 13, 1984",791.03,791.03,791.03,791.03
"Nov 14, 1984",791.24,791.24,791.24,791.24
"Nov 15, 1984",791.54,791.54,791.54,791.54
"Nov 16, 1984",794.41,794.41,794.41,794.41
"Nov 19, 1984",790.65,790.65,790.65,790.65
"Nov 20, 1984",792.41,792.41,792.41,792.41
"Nov 21, 1984",793.74,793.74,793.74,793.74
"Nov 22, 1984",793.74,793.74,793.74,793.74
"Nov 23, 1984",792.67,792.67,792.67,792.67
"Nov 26, 1984",783.86,783.86,783.86,783.86
"Nov 27, 1984",782.83,782.83,782.83,782.83
"Nov 28, 1984",783.27,783.27,783.27,783.27
"Nov 29, 1984",784.95,784.95,784.95,784.95
"Nov 30, 1984",785.17,785.17,785.17,785.17
"Dec 03, 1984",782.38,782.38,782.38,782.38
"Dec 04, 1984",784.05,784.05,784.05,784.05
"Dec 05, 1984",786.67,786.67,786.67,786.67
"Dec 06, 1984",786.65,786.65,786.65,786.65
"Dec 07, 1984",779.54,779.54,779.54,779.54
"Dec 10, 1984",773.48,773.48,773.48,773.48
"Dec 11, 1984",772.46,772.46,772.46,772.46
"Dec 12, 1984",770.8,770.8,770.8,770.8
"Dec 13, 1984",770.18,770.18,770.18,770.18
"Dec 14, 1984",770,770,770,770
"Dec 17, 1984",771.78,771.78,771.78,771.78
"Dec 18, 1984",770.25,770.25,770.25,770.25
"Dec 19, 1984",765.82,765.82,765.82,765.82
"Dec 20, 1984",763.94,763.94,763.94,763.94
"Dec 21, 1984",771.41,771.41,771.41,771.41
"Dec 24, 1984",774.15,774.15,774.15,774.15
"Dec 25, 1984",774.15,774.15,774.15,774.15
"Dec 26, 1984",776.47,776.47,776.47,776.47
"Dec 27, 1984",769.85,769.85,769.85,769.85
"Dec 28, 1984",768.91,768.91,768.91,768.91
"Dec 31, 1984",769.53,769.53,769.53,769.53
"Jan 01, 1985",769.53,769.53,769.53,769.53
"Jan 02, 1985",764.67,764.67,764.67,764.67
"Jan 03, 1985",760.67,760.67,760.67,760.67
"Jan 04, 1985",755.45,755.45,755.45,755.45
"Jan 07, 1985",763.63,763.63,763.63,763.63
"Jan 08, 1985",756.66,756.66,756.66,756.66
"Jan 09, 1985",761.55,761.55,761.55,761.55
"Jan 10, 1985",770.35,770.35,770.35,770.35
