Date,Open,High,Low,Close,Adj Close,Volume
2015-01-29,3669.889893,3710.560059,3645.870117,3704.350098,3704.350098,0
2015-01-30,3700.929932,3708.169922,3653.419922,3656.280029,3656.280029,0
2015-02-02,3659.449951,3705.110107,3630.699951,3703.770020,3703.770020,0
2015-02-03,3707.260010,3757.729980,3707.260010,3757.340088,3757.340088,0
2015-02-04,3756.310059,3767.090088,3734.060059,3742.840088,3742.840088,0
2015-02-05,3747.149902,3783.979980,3747.149902,3782.110107,3782.110107,0
2015-02-06,3782.679932,3801.219971,3760.139893,3770.199951,3770.199951,0
2015-02-09,3766.699951,3771.629883,3745.439941,3754.360107,3754.360107,0
2015-02-10,3759.379883,3798.760010,3758.110107,3794.620117,3794.620117,0
2015-02-11,3795.850098,3804.810059,3776.479980,3795.820068,3795.820068,0
2015-02-12,3799.399902,3833.379883,3799.399902,3833.350098,3833.350098,0
2015-02-13,3834.219971,3849.330078,3830.419922,3849.290039,3849.290039,0
2015-02-17,3848.929932,3857.800049,3836.739990,3856.040039,3856.040039,0
2015-02-18,3854.050049,3856.010010,3841.179932,3855.000000,3855.000000,0
2015-02-19,3854.830078,3860.120117,3839.340088,3851.530029,3851.530029,0
2015-02-20,3852.370117,3876.129883,3830.040039,3875.600098,3875.600098,0
2015-02-23,3874.780029,3874.780029,3862.229980,3874.459961,3874.459961,0
2015-02-24,3873.550049,3889.750000,3867.800049,3885.270020,3885.270020,0
2015-02-25,3885.580078,3893.439941,3875.669922,3882.949951,3882.949951,0
2015-02-26,3883.669922,3883.669922,3865.100098,3877.850098,3877.850098,0
2015-02-27,3878.129883,3881.550049,3865.050049,3866.419922,3866.419922,0
2015-03-02,3867.979980,3890.520020,3866.669922,3890.320068,3890.320068,0
2015-03-03,3887.379883,3887.379883,3855.260010,3872.709961,3872.709961,0
2015-03-04,3873.389893,3873.389893,3836.570068,3856.510010,3856.510010,0
2015-03-05,3856.689941,3867.189941,3850.810059,3861.290039,3861.290039,0
2015-03-06,3861.530029,3861.530029,3799.760010,3807.040039,3807.040039,0
2015-03-09,3809.229980,3829.889893,3809.229980,3822.419922,3822.419922,0
2015-03-10,3816.610107,3816.610107,3757.830078,3757.830078,3757.830078,0
2015-03-11,3759.389893,3769.280029,3750.290039,3751.199951,3751.199951,0
2015-03-12,3753.739990,3800.250000,3753.739990,3799.429932,3799.429932,0
2015-03-13,3796.959961,3796.959961,3754.209961,3776.439941,3776.439941,0
2015-03-16,3780.090088,3827.939941,3780.090088,3827.620117,3827.620117,0
2015-03-17,3826.520020,3826.520020,3798.000000,3814.909912,3814.909912,0
2015-03-18,3812.360107,3874.870117,3791.020020,3861.389893,3861.389893,0
2015-03-19,3859.939941,3859.939941,3835.790039,3842.620117,3842.620117,0
2015-03-20,3844.560059,3887.959961,3844.560059,3877.260010,3877.260010,0
2015-03-23,3877.060059,3889.689941,3870.489990,3870.489990,3870.489990,0
2015-03-24,3869.929932,3876.639893,3847.050049,3847.050049,3847.050049,0
2015-03-25,3850.080078,3858.010010,3791.129883,3791.129883,3791.129883,0
2015-03-26,3789.189941,3802.429932,3762.729980,3782.209961,3782.209961,0
2015-03-27,3782.260010,3795.219971,3777.110107,3791.899902,3791.899902,0
2015-03-30,3797.939941,3843.679932,3797.939941,3838.649902,3838.649902,0
2015-03-31,3835.010010,3835.010010,3803.709961,3805.270020,3805.270020,0
2015-04-01,3805.270020,3805.270020,3769.879883,3790.659912,3790.659912,0
2015-04-02,3791.379883,3813.719971,3786.489990,3804.139893,3804.139893,0
2015-04-06,3800.330078,3841.040039,3785.399902,3829.310059,3829.310059,0
2015-04-07,3829.689941,3846.270020,3821.070068,3821.489990,3821.489990,0
2015-04-08,3824.060059,3841.949951,3817.379883,3833.199951,3833.199951,0
2015-04-09,3832.080078,3854.120117,3819.229980,3850.290039,3850.290039,0
2015-04-10,3850.899902,3871.340088,3850.899902,3870.310059,3870.310059,0
2015-04-13,3870.610107,3880.879883,3852.770020,3852.929932,3852.929932,0
2015-04-14,3852.679932,3864.300049,3836.030029,3859.219971,3859.219971,0
2015-04-15,3862.879883,3888.770020,3862.879883,3879.100098,3879.100098,0
2015-04-16,3877.959961,3887.780029,3867.100098,3876.169922,3876.169922,0
2015-04-17,3871.739990,3871.739990,3816.149902,3832.330078,3832.330078,0
2015-04-20,3837.820068,3874.280029,3837.820068,3867.820068,3867.820068,0
