,sixtyforty,riskparity
2019-03-05,248.33899774932843,249.90986938476544
2019-03-06,247.62905584716773,249.59773513793925
2019-03-07,246.72243822479228,249.3411721801756
2019-03-08,246.63312831115704,249.59801095581037
2019-03-11,248.5663122940061,250.99377368164045
2019-03-12,249.44138676452616,252.28527645874004
2019-03-13,250.3157846755979,252.8728554687498
2019-03-14,249.88207209014865,251.93400634765607
2019-03-15,250.95165607452367,253.38912316894513
2019-03-18,251.46811292266818,253.77499479675274
2019-03-19,251.39415491485573,253.52536143493634
2019-03-20,251.463701911926,254.4654633331297
2019-03-21,263.27539911651587,266.1769593811033
2019-03-22,261.13347174835184,265.7009433593749
2019-03-25,261.10371387481666,265.8147445831297
2019-03-26,262.17870893096904,266.6566147766112
2019-03-27,261.8672407913206,267.1928826904296
2019-03-28,262.61555493926977,268.1278250885009
2019-03-29,263.5124357376096,268.7990257263183
2019-04-01,264.562524543762,268.43570951843253
2019-04-02,264.73248450469947,268.7386860809325
2019-04-03,264.526475715637,267.8140285491942
2019-04-04,265.07756403350805,268.52112481689437
2019-04-05,265.8869416580198,269.31331471252423
2019-04-08,265.8226108474729,268.9530976715086
2019-04-09,265.19255609893776,268.6943883972166
2019-04-10,265.8406114578245,269.4482601776121
2019-04-11,265.49595496368386,268.65045933532696
2019-04-12,266.17468012237526,268.6092374572752
2019-04-15,266.2012687454221,268.8472556457518
2019-04-16,265.98445398712136,268.12918565368636
2019-04-17,265.62549829864474,267.86199281311013
2019-04-18,266.1949301223752,268.7862718811033
2019-04-22,266.0845791091916,268.28296571350074
2019-04-23,277.58760303497286,279.72825715637185
2019-04-24,277.6536314163206,280.4795005493162
2019-04-25,277.4829295120237,280.2106643066404
2019-04-26,278.3837825393675,281.26070965576156
2019-04-29,278.29023091888405,280.58421295165994
2019-04-30,278.65882444000215,281.37130383300763
2019-05-01,277.6310452041623,280.891621734619
2019-05-02,277.0068718261717,279.918620574951
2019-05-03,278.7856939926144,281.68209201049785
2019-05-06,278.2506345520017,281.4892588500974
2019-05-07,275.8970958557126,280.22737518310527
2019-05-08,275.4262477264402,279.4213999328611
2019-05-09,275.16120592498754,279.5848790588377
2019-05-10,275.9036881179807,280.0813014526365
2019-05-13,272.2269432525633,277.72777603149393
2019-05-14,273.50505181884745,278.5236689453123
2019-05-15,274.7962272338865,280.1948906249998
2019-05-16,276.1087029418943,280.98181356811506
2019-05-17,275.1768342285154,280.40928216552715
2019-05-20,273.9846434173582,279.20810327148416
2019-05-21,285.3506996307371,290.20695809936507
2019-05-22,285.17454396820045,290.6044803466795
2019-05-23,283.8291493606565,290.5480032043455
2019-05-24,284.24275352478,290.9797480163572
2019-05-28,283.16126951599097,290.76645614624
2019-05-29,282.2676061172483,290.30952215576156
2019-05-30,283.1999994201658,291.93633514404274
2019-05-31,281.79566242217993,291.989465698242
2019-06-03,281.7948123245237,292.65732565307604
2019-06-04,284.503243873596,293.79113888549784
2019-06-05,285.55138710021953,294.1116774902343
2019-06-06,286.78762462615947,295.47191458129873
2019-06-07,288.9189251022337,298.12537463378885
2019-06-10,289.1099760971067,297.344219604492
2019-06-11,289.1033954696653,297.39936968994124
2019-06-12,288.841629142761,297.2509983825682
2019-06-13,289.75486290740946,298.3754256896972
2019-06-14,289.70895284271216,298.5867570343016
2019-06-17,289.8767760238645,298.90532330322253
2019-06-18,291.9870486679075,301.2149944000243
2019-06-19,292.46719924163796,301.7707672576903
2019-06-20,294.3022413558958,303.6091273498534
2019-06-21,303.39788744354223,311.72504817199695
2019-06-24,303.6146327438353,312.65525654602044
2019-06-25,302.0595955429075,311.6342018280028
2019-06-26,301.5084925155637,310.51626106262194
2019-06-27,302.5412024154661,312.1076612701415
2019-06-28,303.4057847213743,312.7801550903319
2019-07-01,304.87218206024147,313.8007544708251
2019-07-02,305.7888744735716,315.3626763000487
