,customweights,benchmark
1990-11-07,158243.07017054502,130856.841158
1990-11-08,159065.7637346653,131609.54579
1990-11-09,161021.01676926608,134292.238456
1990-11-12,161379.54267344382,136747.20463199998
1990-11-13,161484.40506452264,135990.63614
1990-11-14,162145.9328332166,137183.386562
1990-11-15,160853.9191691064,135743.602316
1990-11-16,160354.0141044844,135828.522702
1990-11-19,161252.72240151884,136781.943474
1990-11-20,159551.76065880642,135060.386562
1990-11-21,159912.81525961123,135376.897684
1990-11-22,160365.97408464097,135376.897684
1990-11-23,162665.00643451983,134983.18193
1990-11-26,164476.84500392445,135631.659228
1990-11-27,164138.19480653218,136365.056912
1990-11-28,164356.81172954018,136303.30694799998
1990-11-29,164440.2349022029,135650.966176
1990-11-30,162743.5165916406,138136.80694799998
1990-12-03,161954.3413147467,139036.18193
1990-12-04,163003.6208142019,140028.20463199998
1990-12-05,160758.7580509549,141560.625404
1990-12-06,159823.50707186398,141205.5
1990-12-07,160083.37041293137,140645.80694799998
1990-12-10,161712.55603932694,141159.18193
1990-12-11,160397.17571721046,140163.30694799998
1990-12-12,159459.81152343727,141772.92038599998
1990-12-13,159554.02472513926,141417.80694799998
1990-12-14,159676.68415591243,140337.0
1990-12-17,160570.38666601252,140001.18193
1990-12-18,162219.28802245675,141738.18193
1990-12-19,162573.89428477956,141811.522702
1990-12-20,162917.93172474141,141776.784246
1990-12-21,162204.56896847463,142475.443474
1990-12-24,162296.37783579988,141788.36385999998
1990-12-25,162292.17977865326,141788.36385999998
1990-12-26,163714.25767538417,142205.238456
1990-12-27,162707.34116520762,141109.0
1990-12-28,164408.18873466452,141336.738456
1990-12-31,165900.55140755768,141981.36385999998
1991-01-01,165896.2001223606,141981.36385999998
1991-01-02,164305.5430997712,140364.022702
1991-01-03,161239.8082478323,138418.579614
1991-01-04,160241.80493818969,138075.04579
1991-01-07,162515.18405762193,135712.72772
1991-01-08,161144.59083199775,135481.125404
1991-01-09,161036.61711437342,134025.897684
1991-01-10,162164.19235903572,135330.579614
1991-01-11,161777.6624061967,135635.522702
1991-01-14,165864.1611190234,134489.102316
1991-01-15,164761.18419900764,135025.63614
1991-01-16,168305.10147081513,136083.284246
1991-01-17,157697.26379415643,141159.18193
1991-01-18,157389.15507936524,143004.26154399998
1991-01-21,157905.79758291534,142502.466176
1991-01-22,159044.8184730147,141321.30694799998
1991-01-23,159446.23972428928,142143.47729799998
1991-01-24,159098.84855562833,144135.238456
1991-01-25,159533.34589678294,144694.943474
1991-01-28,159534.9443639695,144706.522702
1991-01-29,160469.03362534917,144664.056912
1991-01-30,159481.81186201412,146860.397684
1991-01-31,161292.33359338983,148161.22772
1991-02-01,160789.02385677816,147790.659228
1991-02-04,162569.10473590146,150176.13614
1991-02-05,162927.17898867873,151515.556912
1991-02-06,163963.96920690872,154456.886562
1991-02-07,163956.00638859544,153835.42038599998
1991-02-08,166142.468421957,155078.341158
1991-02-11,168245.00110344752,159131.341158
1991-02-12,167510.04985723234,157826.659228
1991-02-13,168343.12675029106,159378.386562
1991-02-14,167371.87408015903,157313.284246
1991-02-15,166386.92024873244,159432.42038599998
1991-02-18,166072.94802566097,159432.42038599998
1991-02-19,165729.52875373766,159586.81806999998
1991-02-20,165745.96100605448,157757.18193
1991-02-21,164181.75371501982,157683.841158
1991-02-22,163413.93220184345,158019.659228
1991-02-25,163450.601044422,158768.5
1991-02-26,163362.17649149755,156873.238456
1991-02-27,164719.8280815858,159011.68193
1991-02-28,164768.67770993256,158753.056912
1991-03-01,166454.4211193061,160235.30694799998
1991-03-04,167154.29247150166,159795.26154399998
1991-03-05,168616.1770927522,163006.784246
1991-03-06,168714.17255950262,162775.18193
1991-03-07,168376.77784712048,162678.68193
1991-03-08,168965.73536896962,162288.81806999998
1991-03-11,167707.36082247805,161474.36385999998
1991-03-12,167853.01190465668,160216.0
1991-03-13,169519.6443697346,162188.46617600005
1991-03-14,168260.59941934107,161729.125404
1991-03-15,167890.394510876,161767.72772
1991-03-18,165850.2228807752,161130.81806999998
1991-03-19,166259.47723012132,158753.056912
1991-03-20,167060.92863371564,159332.056912
