,uniform,onlystocks,sixtyforty,riskparity_nested
2018-07-02,424993.60249509336,453271.5997868593,547288.125032271,376504.18537210935
2018-07-03,427579.9891883641,450070.42575795174,546766.9255929845,378809.0281877277
2018-07-05,430980.06884452526,457413.36571282486,552686.9214158801,381683.3312501669
2018-07-06,433970.8712004648,465150.8026349794,559157.9528249952,383982.495262825
2018-07-09,431889.0416278916,473527.2989443613,563099.7517502566,383833.66342110466
2018-07-10,432695.9730391663,476934.92768470955,565342.61084953,384333.44326547097
2018-07-11,428445.7789726965,469958.2316146289,561686.2657326367,380754.61880450696
2018-07-12,431104.4545415626,478478.98493743956,567669.680438227,383405.15712552913
2018-07-13,431413.5271274004,479232.523791269,569155.9994624073,383402.1613845787
2018-07-16,428343.98222067417,478375.6998718439,567219.7168717333,381615.85265447624
2018-07-17,426889.8824275641,482245.6941800553,569426.3780281022,380141.41154183145
2018-07-18,426697.78685386793,484274.73361054563,569791.4691925454,380143.4332992139
2018-07-19,427649.0149709551,480621.82338998147,569214.6503987983,380133.9863106906
2018-07-20,425622.65635229053,479523.4147439226,564851.1354198772,379103.89859510364
2018-07-23,421867.6124519673,481306.3960280893,562299.0080028095,376269.3395623803
2018-07-24,424243.0049205421,486150.2681519094,566656.6967208388,378110.8956477221
2018-07-25,427614.0511664108,494436.33641764056,572080.3442869133,381116.02028108475
2018-07-26,426395.80325062224,492103.53736518574,569757.1687775296,379291.78445367113
2018-07-27,425163.5803937254,485434.40710622957,565699.6047196889,378195.1326550723
2018-07-30,423118.14020459924,480363.3682278472,561048.9315301802,376237.98396648455
2018-07-31,425923.5190204297,485098.93598264834,565913.8596664555,378689.7335035161
2018-08-01,420887.910869858,483478.3448630764,562458.1292572431,375027.0017121294
2018-08-02,422381.5082572297,488745.6144759518,566789.2852314087,375958.7989893015
2018-08-03,426268.43623033236,492933.6797173353,571415.0178716527,379018.290565391
2018-08-06,426532.39568944596,496548.8148798735,574234.5073790757,379115.9875117866
2018-08-07,426761.43080190994,499828.36721850093,574840.6413412034,379095.58770499873
2018-08-08,425992.80091339286,499408.2611590778,574981.7861649927,379060.44297676516
2018-08-09,427430.3536706845,498043.88078903826,576582.6489100824,380274.2831326818
2018-08-10,427832.82435727183,491370.167868957,574632.4162383941,380638.97997387266
2018-08-13,423871.4384688883,487691.5530080126,571528.9976854278,377692.144297207
2018-08-14,424862.7010124301,493914.86889461963,575090.3435727125,378624.82028168015
2018-08-15,421221.671213981,486538.812456861,571901.6259718677,376314.1588009968
2018-08-16,423928.14337441226,494411.8292423559,577269.4166929857,378366.64737068163
2018-08-17,427092.8021130062,497892.8226066734,580064.4990270648,380732.6854042697
2018-08-20,429825.2387222366,500023.87928136566,583847.8611629447,383093.07578628825
2018-08-21,429388.62611095567,502368.88660852873,584348.7400099619,382825.23883931735
2018-08-22,431196.1473116215,501772.4293113612,585307.1063917086,383890.7638055881
2018-08-23,429436.33914087905,500439.97038499743,584734.2802387464,382516.3589608405
2018-08-24,434743.95580445376,506463.386852911,589448.6516686142,386459.78616702015
2018-08-27,435105.9514969331,514460.4698465666,593085.6007204158,386976.8318310037
2018-08-28,431856.6619760243,514957.55507899274,591475.9334487033,384626.09542901634
2018-08-29,435320.5904379165,520499.0016788904,595559.4541398082,386971.4527337606
2018-08-30,434344.38601613475,516285.02127005986,593577.7179028206,386273.6980533165
2018-08-31,433515.94525660545,516320.5003973937,593100.3297824308,385771.4718555161
2018-09-04,430826.82029223547,514542.0622030784,589970.362573592,383686.512960476
2018-09-05,431303.25082269456,511772.4670432681,587406.4574035534,383952.5627963167
2018-09-06,432097.0605872578,508691.6442896259,586601.8161110815,384687.4056341959
2018-09-07,428148.27134083805,506714.6598169771,582200.050290647,381315.00760705274
2018-09-10,429796.6049036652,508476.34349819244,584405.5320191884,382435.9697332298
2018-09-11,429157.9543008641,511829.5537058116,584128.0245118455,381558.9126421254
2018-09-12,431722.7898792241,512077.5061828137,585108.9072342126,383339.6374780606
2018-09-13,432096.35029257037,518134.5658192024,589630.0132350058,384191.69615156204
2018-09-14,428872.4507097287,518312.72677739896,588224.2537892628,381966.85641732864
2018-09-17,429027.9022405927,512824.675823774,584466.6663486119,381806.81656394684
2018-09-18,427886.2675587596,518389.81697763555,584994.2221428875,380711.0955453884
2018-09-19,426108.1833276904,519494.6779364806,583954.1385122007,379581.8586340604
2018-09-20,429051.04250500334,527914.1130244146,590746.2710703498,382293.212659454
2018-09-21,428252.4512033112,526949.4387598799,590086.0798866908,381777.89182462014
2018-09-24,427584.1464336174,523448.55037556833,586865.4225244126,380722.0338140487
2018-09-25,426440.02826914936,522477.3572142324,585739.1459654903,379826.3152345985
2018-09-26,425583.472343824,519350.8756241952,586008.5870254402,379597.51842358586
2018-09-27,425880.80843797413,522252.7864465138,588132.6335862295,380086.77436393395
2018-09-28,428657.24441124033,522360.73717225593,587702.2926972231,381588.9447518585
2018-10-01,428739.35337772104,525990.2856769656,587850.9846015014,381529.4086790817
2018-10-02,433458.96140226204,525376.993626006,589443.997832404,384440.68835784023
2018-10-03,428526.387521445,525953.7989733844,584048.6703849713,380452.98420350795
2018-10-04,425044.6601697077,517732.58709223685,576298.7745807624,377094.3705577291
2018-10-05,423825.6947787765,511937.3731529284,569919.4706806621,375226.214266592
2018-10-08,421902.88314249355,511937.3731529284,569278.6323026906,374215.5201682939
2018-10-09,424692.7696000729,510443.28743843216,570892.3684271041,375875.343928084
2018-10-10,417081.25521995244,478120.3176256884,548524.933950379,367830.0229940848
2018-10-11,417651.8858037904,457058.5581392331,537879.0610892033,366349.2124819876
2018-10-12,418731.05475879164,469753.5724762259,545412.8319937912,368283.06689016236
2018-10-15,419662.09569448343,464476.76299128035,541881.3272362873,368194.71396990336
2018-10-16,424315.0965248129,484787.836046095,556114.8051711755,373246.06956634775
2018-10-17,421889.84128011565,484960.93887339014,554234.5319341574,371485.22180614877
2018-10-18,419144.4464432176,470954.88108337193,545089.0414827961,368563.304525584
2018-10-19,420468.7522111846,470443.8472855734,543981.2676700806,368944.7238380067
2018-10-22,418673.4990945888,466220.57172864483,540877.5452648087,367467.08359299536
2018-10-23,417437.70841629966,461474.1108808764,538959.1915678434,366760.8877920441
2018-10-24,416873.340867732,433511.3813036046,522944.84197559307,363826.9593303576
2018-10-25,416882.40659686015,449065.3987632616,531978.7989540412,365394.3438564759
2018-10-26,415645.55608599645,433270.43087187683,523671.11663497426,363509.67149348144
2018-10-29,414036.525515061,428469.9056373631,519888.6996830783,362012.1869138942
2018-10-30,414039.81295447133,441167.5860745278,526858.9026959089,363237.86467572575
2018-10-31,411542.97271118616,450591.34130235785,532012.343579439,361154.95107263647
2018-11-01,414803.3518482178,460181.1357667857,539248.8973905207,363957.71452938975
2018-11-02,410216.4593872926,454730.1424805529,531581.7793435915,360138.4181462715
2018-11-05,412548.00105235557,459747.2191185434,536097.1941122359,361409.7355385169
2018-11-06,413097.4816946924,465565.38705828047,539905.1974772434,361333.87990920804
2018-11-07,417784.451271886,485498.96994055447,554446.2703624733,364037.8810981406
2018-11-08,416248.25508436473,483736.4992156899,552875.8483626745,362791.11474669573
2018-11-09,413748.0039777152,474286.60113636235,548454.4872039633,361546.5186019667
2018-11-12,410601.25622191484,456563.15517613635,537754.5375149883,359938.2687345648
2018-11-13,408657.8243082008,454854.8365193827,536569.1776414553,358953.62461725826
2018-11-14,409003.2040265448,448635.7332907529,532686.1062079908,360031.28158932185
2018-11-15,410161.33854300465,457999.673921183,539442.4484908641,361015.0465582042
2018-11-16,414984.2970558914,460381.73542217066,543018.2662275534,364682.5806567769
2018-11-19,413223.956731138,444808.23167540587,532782.3112682444,363886.7600079266
2018-11-20,407602.17232722865,428345.6745645555,521031.7093870429,360599.22431257385
2018-11-21,407652.0230788339,431264.73103533825,523004.3135585441,360826.7909162871
2018-11-23,404738.714412584,425504.4140228288,519231.5854015396,359226.0262758713
2018-11-26,407394.7677885591,439242.71357264754,528410.5218226649,360526.3058757379
2018-11-27,407686.0101431362,442198.10782035877,530978.5803742826,360537.9447550985
2018-11-28,410995.51572497986,462560.621167522,544487.0161784946,362666.98550810857
2018-11-29,412611.2823862943,460539.29379838373,544423.2981339209,364289.7472664117
2018-11-30,415278.9241729299,466153.25581125775,549665.3188288424,366051.7467491014
2018-12-03,422768.2144224955,478497.5080885486,560503.6643769676,371207.82942787063
2018-12-04,421751.0650871178,447490.2277238578,542972.7738630676,371891.1161982973
2018-12-06,422045.76676533424,446132.42569163145,543266.0702230404,372603.0987117613
2018-12-07,421484.1340714099,425400.9193589625,529492.9096243954,373154.21992044087
