,uniform,onlystocks,sixtyforty,riskparity_nested
2014-09-05,-0.02017400986783524,0.0,-0.011114965389643738,-0.017854371405493952
2014-09-08,-0.02783788209874849,-0.005170428570121066,-0.014478758350671805,-0.02436953493032712
2014-09-09,-0.035003716548809294,-0.01776633811069417,-0.023260701735991485,-0.03093080994513564
2014-09-10,-0.0409959655649782,-0.010375532769944518,-0.022183887626564536,-0.03505108972000548
2014-09-11,-0.04402011732383204,-0.00810005652213619,-0.02253982047385028,-0.038171583429482125
2014-09-12,-0.06007376187072577,-0.01968735089514173,-0.03486926648018851,-0.05144606525457607
2014-09-15,-0.057499301189433916,-0.021164028801158752,-0.03450152408324436,-0.049258221522605505
2014-09-16,-0.051428732429818935,-0.0064077021581365745,-0.02721213015815438,-0.044059236555565984
2014-09-17,-0.05791370352166347,-0.0037313684454614027,-0.02750393820225283,-0.04955010207176325
2014-09-18,-0.057340380224042975,0.0,-0.020225972890056787,-0.04747202045667931
2014-09-19,-0.05254226068182055,-0.001802045321386947,-0.015249915989255736,-0.04380806897015577
2014-09-22,-0.05809368779720969,-0.017218696810377687,-0.023312203567587453,-0.04841156625936238
2014-09-23,-0.05550668984404561,-0.02846882436526732,-0.02699751421749519,-0.04675677017108271
2014-09-24,-0.05723533414709725,-0.013260228005472774,-0.02096468365503601,-0.04710556787910092
2014-09-25,-0.05785003020645196,-0.04509987796290349,-0.033962119216045084,-0.04923317344907685
2014-09-26,-0.05721114656568482,-0.02992729792236748,-0.026157232186483026,-0.047881818584612934
2014-09-29,-0.05144961175928797,-0.03345631489282863,-0.024001389880455748,-0.04357248162131655
2014-09-30,-0.060308612229901803,-0.038544251240183014,-0.02960724303046114,-0.051047406285483654
2014-10-01,-0.0526767632041617,-0.06460094571793129,-0.03469540330265253,-0.04601059211190017
2014-10-02,-0.05828972112393804,-0.06431216632555914,-0.03916264454620155,-0.05090730257124543
2014-10-03,-0.05942091147605122,-0.04371142904791392,-0.02512897186566565,-0.05043659072119844
2014-10-06,-0.05265414698235382,-0.045950583443661985,-0.025605672984560846,-0.044889224659863225
2014-10-07,-0.050905331749270255,-0.07540106033755145,-0.035808154354642685,-0.044929847535104206
2014-10-08,-0.03573869122705109,-0.04306361288086458,-0.014695924230770485,-0.029961392367839568
2014-10-09,-0.05065593649558486,-0.08101730994303613,-0.04014826702608121,-0.044554884183603205
2014-10-10,-0.049139976417170494,-0.10199420913962265,-0.047301817144573266,-0.04494689633770277
2014-10-13,-0.047834909090777256,-0.13149387534550128,-0.060569534383082435,-0.04530310351215505
2014-10-14,-0.04491663085910069,-0.12880643717684892,-0.05562933314808305,-0.04234400534446703
2014-10-15,-0.045887468779397866,-0.14059459766843396,-0.05813830040391432,-0.04081704078545967
2014-10-16,-0.04703061219059623,-0.14206904326573888,-0.0625877271109283,-0.042681794296984266
2014-10-17,-0.04484278940259956,-0.12180598306751134,-0.05268454174451198,-0.04166733954777424
2014-10-20,-0.035229872622285496,-0.10475396042805518,-0.03972725613979933,-0.033026317198671995
2014-10-21,-0.028700131953237507,-0.06928629191075042,-0.02079537595934733,-0.027802120114763906
2014-10-22,-0.03436841250735434,-0.082521019753108,-0.029079210846663206,-0.033206678002156376
2014-10-23,-0.03479021965952922,-0.06119264815599612,-0.020132091650776007,-0.03490529897883132
2014-10-24,-0.030679017426561428,-0.046745503141030764,-0.010079121445492834,-0.031291374936987304
2014-10-27,-0.03205825975296939,-0.049365587784277354,-0.01071175620092124,-0.032167019461439406
2014-10-28,-0.027522264305894995,-0.027560268192854176,0.0,-0.029043449406502386
2014-10-29,-0.033027027835313305,-0.030500490255860546,-0.0023152214212186495,-0.03541350450814684
2014-10-30,-0.03054059594264502,-0.018071663692244444,0.0,-0.03401554099546711
2014-10-31,-0.03528588895152973,0.0,0.0,-0.03893314307084905
2014-11-03,-0.03699506980699574,0.0,0.0,-0.04075994621007262
2014-11-04,-0.04096568879617668,-0.006937948490114976,-0.0033534211054170315,-0.04376259644107938
2014-11-05,-0.04067857852451251,0.0,0.0,-0.04510850007411593
2014-11-06,-0.045812730040161176,0.0,0.0,-0.04926193652306454
2014-11-07,-0.026532098968002127,0.0,0.0,-0.030802679273471578
2014-11-10,-0.03839767570546704,0.0,-0.0007295740606824141,-0.04266300461703665
2014-11-11,-0.0328797987959496,0.0,0.0,-0.03735316207095829
2014-11-12,-0.03989182099123301,-0.002154434690226692,-0.0018217662096213783,-0.04269030306446697
2014-11-13,-0.042382055775781025,0.0,0.0,-0.043502273422778015
2014-11-14,-0.030285842236157823,0.0,0.0,-0.03181808334899083
2014-11-17,-0.030655840003737445,0.0,-0.0004806442187751392,-0.033057746790927545
2014-11-18,-0.02378152887517815,0.0,0.0,-0.026442084390694287
2014-11-19,-0.03321541021708585,-0.0032106182519346937,-0.0052564256613436555,-0.03548008994979723
2014-11-20,-0.025231089870219714,0.0,-0.0005443323358300667,-0.02789109261639955
2014-11-21,-0.015454556217657567,0.0,0.0,-0.01916991009972968
2014-11-24,-0.017612506011317697,0.0,0.0,-0.020088112859240392
2014-11-25,-0.013654061910161608,-0.0014476501053318769,0.0,-0.016285413997153553
2014-11-26,-0.011236122043216779,0.0,0.0,-0.012633677619965589
2014-11-28,-0.02456535780538127,-0.004237082547688065,0.0,-0.015545447270055024
2014-12-01,-0.011779528364237568,-0.018076901411102075,-0.011621002929386615,-0.017226553935816513
2014-12-02,-0.022427354235719954,-0.0053845499061995206,-0.009769835826790474,-0.02202823908594176
2014-12-03,-0.01678046324590088,0.0,-0.003489642685051697,-0.017148423627460385
2014-12-04,-0.014745249540615846,-0.0022123107226437178,-7.093341353237026e-05,-0.013586352884180641
2014-12-05,-0.02565532108718105,0.0,-0.002720592875758543,-0.02055478164902691
