,uniform,onlystocks,sixtyforty,riskparity,benchmark
2011-03-21,-0.0008976994668128402,-0.4784223166002589,-0.01995445759023662,-0.005873565013850612,-0.10416510942298085
2011-03-22,-0.0009466740246319993,-0.48204097630952425,-0.024857863814432113,-0.006741550086576731,-0.10723769076543499
2011-03-23,0.0,-0.4790507737729549,-0.025377191995628934,-0.0043671203905985,-0.10462686446283487
2011-03-24,0.0,-0.4693613161569672,-0.019892641553020618,-0.0010882048144658096,-0.09626719328696787
2011-03-25,-0.0011211433349156419,-0.4660428099768297,-0.015299387935419184,-0.0036694466459757935,-0.09340708528231101
2011-03-28,-0.01841946697285546,-0.4690202367155669,-0.024950196250763557,-0.01702144637298142,-0.09589940546125941
2011-03-29,-0.011349114559625506,-0.4613376897473762,-0.013709407546523278,-0.011670511443488851,-0.08932530665867633
2011-03-30,-0.005790962139142319,-0.45405968998432167,-0.004065429051275937,-0.006897009193333692,-0.0831392456550617
2011-03-31,0.0,-0.4561019564433888,-0.004488946989576914,0.0,-0.0848185817680337
2011-04-01,0.0,-0.45073257816770274,0.0,-0.000228860602692893,-0.08026686819565176
2011-04-04,0.0,-0.4502575252545147,-0.003236076573038038,0.0,-0.07983384171494368
2011-04-05,-0.008172572799335365,-0.45048530962824573,-0.012506285851452192,-0.004150544314857507,-0.07998905691624858
2011-04-06,-0.00230926561187339,-0.44767167937740326,-0.012934160422551022,0.0,-0.07759878416514576
2011-04-07,-0.0030483297545279564,-0.44935372947814367,-0.01580632657141323,-0.001009610207682976,-0.07896758977172824
2011-04-08,0.0,-0.4538036528806809,-0.021016790603828772,0.0,-0.08265305140089463
2011-04-11,0.0,-0.4568774337472299,-0.016290614075349596,-0.00033243715676456453,-0.08519853935330224
2011-04-12,-0.015467793915988293,-0.4653576486358356,-0.022055261889579403,-0.014240698002409569,-0.0923038210917917
2011-04-13,-0.01079390123669155,-0.465085903065519,-0.021438258963856982,-0.013151204815288642,-0.09203827926714181
2011-04-14,0.0,-0.4650211307649661,-0.01126405428134225,-0.0023702891705424944,-0.09194840241602964
2011-04-15,0.0,-0.46086820022949104,-0.003724050619278718,0.0,-0.08838962681940832
2011-04-18,-0.001623434186337147,-0.4727764381626418,-0.013556701396583826,-0.0006255212048809078,-0.09842045419935397
2011-04-19,-0.003316784558361041,-0.46674210218248513,-0.011107105619736046,-0.0032263708327066043,-0.09322723147630685
2011-04-20,0.0,-0.4523443401597793,0.0,0.0,-0.08095336602805636
2011-04-21,0.0,-0.4465711306304314,0.0,0.0,-0.07607476294867177
2011-04-22,-3.1289365153175375e-05,-0.4465711306304314,0.0,-1.750198054117913e-05,-0.07607476294867177
2011-04-25,0.0,-0.44837621595255817,0.0,0.0,-0.07754571567829294
2011-04-26,-0.006288069728054957,-0.43851156622299614,0.0,-0.0034188287161857067,-0.06926365189878514
2011-04-27,0.0,-0.4313461641090913,0.0,0.0,-0.06329016392816111
2011-04-28,0.0,-0.4272567269235621,0.0,0.0,-0.05988660353284447
2011-04-29,0.0,-0.42466170912216494,0.0,0.0,-0.057721073165705405
2011-05-02,0.0,-0.4267221080181418,0.0,0.0,-0.05937178000613763
2011-05-03,-0.002212998362798424,-0.43063665465250245,-0.0002020289818064347,0.0,-0.06254650806304396
2011-05-04,-0.0037562678844955677,-0.4382853374212172,-0.0013790751108578858,0.0,-0.0688060865085709
2011-05-05,-0.04068280544733949,-0.4484601001428077,-0.0131921236896122,-0.018075393689314434,-0.07720246676209075
2011-05-06,-0.05054222261170316,-0.4441598196013431,-0.00886775096207737,-0.022493632333081548,-0.07357017331497018
2011-05-09,-0.03861114767771734,-0.4391369384179523,-0.008688717720355177,-0.018625102700166152,-0.06934943920403724
2011-05-10,-0.022192049657784874,-0.4301070844872076,0.0,-0.00714473001214333,-0.0618233011529864
2011-05-11,-0.04862629096216464,-0.44219053534596753,-0.01992548791499138,-0.02243596388753155,-0.07173153245483355
2011-05-12,-0.047835315579181525,-0.4366491248443304,-0.01033555634340999,-0.02095048938709987,-0.06708585207689288
2011-05-13,-0.03861611867324155,-0.4457343023872894,-0.012777182686705912,-0.014446796528343464,-0.0745711910958442
2011-05-16,-0.04007460426158915,-0.4525860831293994,-0.01394481465673525,-0.014735782725832758,-0.08025459874089869
2011-05-17,-0.05536046684607976,-0.4527546739797551,-0.02217666368442628,-0.026161887158811403,-0.08036083500121038
2011-05-18,-0.040316184308055836,-0.44296257518448245,-0.0133108461012591,-0.016668172620901034,-0.07209922099393573
2011-05-19,-0.04321519905127247,-0.4404835119559055,-0.009868655821072325,-0.016755298503343785,-0.06999912826359578
2011-05-20,-0.04095639308346388,-0.4491317402738517,-0.015446290269350405,-0.016218999583824667,-0.07714939827523803
2011-05-23,-0.043911136374523485,-0.46229794014653147,-0.02715388131774854,-0.017280871494532613,-0.08814034470876475
2011-05-24,-0.0386952086182889,-0.4632164959177768,-0.030597554565582663,-0.013668909958086006,-0.08888400098246863
2011-05-25,-0.023394275302602296,-0.4597619020341208,-0.01907522753489832,-0.0060158103393554985,-0.08591765630891302
2011-05-26,-0.026774253232683454,-0.4552724858367574,-0.016108635998382637,-0.005832310798525087,-0.08208515938733518
2011-05-27,-0.01600341758688484,-0.4506531745338911,-0.007906308460045697,0.0,-0.07815859596500518
2011-05-30,-0.0160335409796718,-0.4506531745338911,-0.007906308460045697,-1.0156895563273594e-05,-0.07815859596500518
2011-05-31,0.0,-0.43904495598639925,0.0,0.0,-0.0683852301960095
2011-06-01,-0.028143708081050045,-0.46453146933412837,-0.039407363504131876,-0.01675667532010816,-0.08950915072393406
2011-06-02,-0.02304146880991831,-0.4658223473015757,-0.037725066022287645,-0.012736338985029239,-0.09057141690055392
2011-06-03,-0.029158262871003537,-0.476209137297251,-0.05203603045749594,-0.016690930726668607,-0.09937648329848836
2011-06-06,-0.035461338466050596,-0.4875009485779399,-0.06424330963544467,-0.019384170093900588,-0.10904780204822506
2011-06-07,-0.026717063212727044,-0.4884759618639709,-0.057582119186660896,-0.012610492203682822,-0.10986088621798162
2011-06-08,-0.028397169840360337,-0.4925780166184036,-0.06443940661501424,-0.01852421057268261,-0.11339512249650985
2011-06-09,-0.0174004736589094,-0.48512330751827837,-0.05191584696715679,-0.01250789352788162,-0.1068495528626866
2011-06-10,-0.0320867543764104,-0.4995429276797999,-0.07011531440007868,-0.021122011823540454,-0.11931963193472783
2011-06-13,-0.048704953822152675,-0.49858288698430875,-0.08163096635061329,-0.032488092796139845,-0.11844121023195242
2011-06-14,-0.02913116964624396,-0.48591613557330227,-0.0540409892674919,-0.01596154438822961,-0.10727449953828117
2011-06-15,-0.039798632130088496,-0.5038550863664857,-0.06740793794102784,-0.01673256785389976,-0.12281306958974336
2011-06-16,-0.048177811172451346,-0.5019839381085007,-0.07118040035707462,-0.021204584922670522,-0.12112555397646485
