,uniform,onlystocks,sixtyforty,riskparity,benchmark
1995-02-28,280254.37153944134,469972.7481857336,454031.9073870432,238015.4205224419,245632.00679999994
1995-03-01,277182.43610821175,466857.9418848918,449061.10176100937,235984.49356727223,244828.0032
1995-03-02,275182.9220339911,465860.32160878583,446399.31078912545,234838.08715063435,244576.0011999999
1995-03-03,274314.0856785544,466571.6341563436,443496.32864949916,234781.15195464547,244771.99719999993
1995-03-06,273462.2029464307,467100.32995554805,441846.1778473213,234585.19884016569,244919.99519999995
1995-03-07,276517.23277066776,460362.03434019745,442484.24907214724,235735.9085672411,243163.98919999992
1995-03-08,276858.12863115035,462281.7801524061,445729.7292049589,235736.30644343625,243680.00519999999
1995-03-09,278956.02049456805,462762.5174734776,449557.95099393575,236667.07148640748,243815.99119999987
1995-03-10,280926.1111731194,475018.94574633456,457684.1508527131,238538.45776841894,247052.00199999995
1995-03-13,286163.8988091243,475982.8352199382,463754.3722439796,241684.4536849443,247311.98759999993
1995-03-14,286212.7375227518,481492.8195055775,467072.8763492995,241859.7293062429,248752.00199999995
1995-03-15,287170.6317568405,479534.4021042062,466281.36057960376,242686.172676644,248256.00599999994
1995-03-16,287084.2189111851,486455.8482242759,469295.1780527235,242527.69414034247,250056.00599999994
1995-03-17,285922.54396697273,486636.3827586331,467944.46197138866,241927.9842671943,250111.98759999993
1995-03-20,284318.7926595197,487845.06184178055,465475.9620705694,241425.18303063617,250432.00679999997
1995-03-21,284029.89646534424,485702.2671485628,464180.3104623657,241127.62296506535,249891.99239999996
1995-03-22,285807.03562395513,486847.42558256333,465009.0373619193,242196.31152256893,250195.99640000003
1995-03-23,289194.5639954209,487355.13246821094,470628.4927757439,244002.70101960556,250335.98639999997
1995-03-24,291004.08981639607,497182.6555089843,479087.45385955815,244935.28715978801,252867.99319999997
1995-03-27,291985.321392674,502007.94851246633,481502.2649788966,245327.0291118712,254104.00399999996
1995-03-28,289126.25463621394,503376.78465312306,478104.2709957288,244446.22064065473,254459.98559999996
1995-03-29,288450.15356713545,501786.1872493484,475858.9622108519,244269.49443906563,254067.99319999997
1995-03-30,287888.89233118127,500024.3400636768,473613.7506966778,244041.46702312288,253632.00679999997
1995-03-31,291514.0360202,497003.1128221965,474185.6187279728,247208.95521632797,252876.00119999994
1995-04-03,293265.9243200332,499435.0192473116,477665.4596261061,248223.86864528817,253504.00399999996
1995-04-04,294534.6751055573,506398.9645226639,481478.45668680314,249335.12624799443,255280.00519999999
1995-04-05,296337.603947449,507217.47924830177,483454.25124680944,250467.97775284672,255495.99640000003
1995-04-06,296064.03377265885,508195.56646382535,482064.95687902847,250925.57599623594,255752.00199999995
1995-04-07,295545.1232786456,508935.8822882421,481962.1146424862,250677.19261019112,255947.99799999988
1995-04-10,295790.3020892989,510122.4173864385,484889.00917390775,250025.1376584489,256256.00599999994
1995-04-11,296769.22508474835,507103.2552332817,484029.0184297253,250565.1392609924,255508.00799999994
1995-04-12,298026.763036524,510432.40166697034,488081.9492965338,251503.9508985376,256356.00599999994
1995-04-13,295564.44123139617,514553.17399990995,487877.3698191804,250571.9219826276,257399.99999999997
1995-04-14,295556.3900989211,514553.17399990995,487877.3698191804,250564.72559279297,257399.99999999997
1995-04-17,295813.6498430416,508352.6162457355,483429.86777205777,250823.07650338783,255859.98559999996
1995-04-18,297936.3868787979,506818.55759906647,483959.3499088089,252143.3864793731,255484.00879999995
1995-04-19,299934.94276066293,505906.08851609734,485288.4744248211,253367.7159198273,255263.98919999992
1995-04-20,299944.7681666959,506597.00851139,486589.46263479686,253249.5126844836,255447.99799999988
1995-04-21,300868.40874150884,512987.5673250042,491432.84890899895,253929.77015598398,257067.99319999997
1995-04-24,301240.058428051,522037.50002661144,495663.001347546,254893.99697966466,259343.99439999994
1995-04-25,300886.4745760812,520514.94096394564,495092.6463273365,254515.84139744105,258976.00119999994
1995-04-26,299505.99498083635,521697.70053261914,494859.78079453437,253794.08231241506,259280.00519999999
1995-04-27,299539.4014715534,523461.53305652144,495525.3056620486,253576.81645034906,259728.00320000004
1995-04-28,300279.021016348,525792.8349472466,496193.9451528396,254278.48490719625,260315.99119999987
1995-05-01,301460.34617225674,525089.5193925955,497788.79814201477,254763.9005651332,260152.00199999995
1995-05-02,304421.6673801105,526438.627688444,504000.80633927154,256786.66818561358,260495.99640000003
1995-05-03,308765.13088764,537932.5755504208,516252.657744319,260154.7300238323,263347.9979999999
1995-05-04,316817.06177391676,538348.9864402742,528095.692878345,264584.3279152723,263459.9855999999
1995-05-05,315740.3977446246,537522.4665032834,526094.5905452917,264141.08587700495,263267.9932
1995-05-08,320380.82035653084,545783.8547125305,537091.7868726965,267233.3424046215,265300.0
1995-05-09,317375.2278780156,545346.659115861,535225.3686605508,265664.15296082635,265204.00399999996
1995-05-10,315344.89992866566,547066.0168335912,534328.8150552425,264200.0186367588,265632.0068
1995-05-11,314973.0021041723,547205.2589886945,534510.2557559988,264173.41739744216,265676.00119999994
1995-05-12,318092.84048747405,549669.2891984334,539209.3105925316,265871.0108331367,266284.00879999995
1995-05-15,323256.7855756293,554501.4601183945,548231.375029572,268425.8823643511,267463.98919999995
1995-05-16,324567.48915099195,555554.1700922644,549844.1689457515,269120.12059195194,267728.00320000004
1995-05-17,321291.0250194127,553169.2811554137,544441.1458894066,267168.8737914937,267163.98919999995
1995-05-18,319518.5089411268,537480.635861892,534347.7725645574,264967.69768029713,263387.9883999999
1995-05-19,319446.432187054,537128.9209055797,533900.8961589187,264743.00501278,263311.9876
1995-05-22,323534.6510741756,546427.9657580992,544197.8758150988,267609.72767931607,265600.0
1995-05-23,331862.0572415829,556744.7279221173,560664.7779274348,272600.40821024135,268115.99119999993
1995-05-24,332722.8096601297,556851.5468699822,562805.1267008034,273391.55768991547,268152.002
1995-05-25,332376.0600649845,557057.999890313,561304.2817394064,273563.22901707055,268211.9876
1995-05-26,334354.0666925019,546790.5214672228,562616.3403772373,273892.26317501103,265752.002
1995-05-29,334345.8827942037,546790.5214672228,562616.3403772373,273888.07309458015,265752.002
1995-05-30,334755.96624935966,546649.645819347,564316.8354133163,274144.95790726563,265728.00320000004
1995-05-31,339491.96947387804,567142.4802492299,581266.5447586643,277227.1964084398,270715.99119999993
1995-06-01,344328.23154975905,567384.0164146639,588417.7071998607,279346.46709330194,270784.0088
1995-06-02,345028.7404245921,565445.0429517674,587932.8860639402,279857.56471941026,270332.0068
1995-06-05,346215.8016315299,571964.9345677344,591993.5118838957,280442.58398038463,271900.0
1995-06-06,342980.4058215645,571988.2567406856,587681.8013512815,278805.5250861166,271915.99119999993
1995-06-07,342034.4240676198,566774.8475734616,583183.2354168198,278314.7229793727,270687.9884
1995-06-08,334517.99661889335,565222.850349825,570266.5989733444,275222.3947359518,270328.00320000004
1995-06-09,334555.84837007825,555823.30464803,566097.6087790629,275020.2751304441,268091.9924
1995-06-12,343666.2660323974,562020.696827941,583205.6478968151,279609.0169022045,269595.99640000006
1995-06-13,343681.6121745991,573408.3373435144,588376.5574628062,280312.47497625556,272335.9864
1995-06-14,343428.4812156434,574341.8024342344,586540.3239467215,280699.3734148736,272567.9932
1995-06-15,342623.0966582204,575697.6345373243,586434.0022387507,280297.3481148989,272900.0
1995-06-16,345504.89441832027,581462.3095091276,593783.4742711801,282288.9026029706,274276.00119999994
1995-06-19,345365.109049191,593109.9151333071,600055.2073110897,282192.7212687422,277032.0068
1995-06-20,347338.93134559254,592550.0824834206,603019.6205912391,282798.04923478176,276911.9876
1995-06-21,349074.0152532582,590346.355221892,606940.3429055848,283051.7039227908,276408.008
1995-06-22,349652.87391446624,605755.9464874456,614312.7865443287,284053.0374099823,280023.99919999996
1995-06-23,346572.343137608,602748.296836056,608377.4401259588,282583.7829607044,279339.9904
1995-06-26,344464.34582541056,590473.3454259099,600178.3679761068,280757.83892269654,276508.008
1995-06-27,346175.72701664467,586735.6132530166,601069.3288275781,281345.700236171,275643.99439999997
1995-06-28,341086.88579932536,592159.9857431556,593903.2817216596,279714.4856230783,276928.00320000004
1995-06-29,341048.99296682555,590248.6825648937,595041.662562662,279313.7685685884,276491.9924
1995-06-30,340460.0785888909,592373.5215591411,596070.4727328856,279017.9553474734,277000.0
1995-07-03,341293.08235617727,597480.5826065717,601344.5427227007,278855.97042573313,278204.00399999996
1995-07-04,341386.53806908976,597480.5826065717,601344.5427227007,278958.96573495807,278204.00399999996
1995-07-05,345205.9829236172,598001.8555423525,611121.4107653233,279908.5105270783,278335.9864
1995-07-06,346870.00965079956,612969.7466212484,618868.6173638976,282037.79535266967,281828.00320000004
1995-07-07,348024.876659362,618389.3216802309,623465.5016627273,282747.1903203663,283084.0088
1995-07-10,345975.9712633871,620177.7463774189,618097.5022590597,282883.329270895,283504.00399999996
1995-07-11,346930.51288477646,614789.3877516255,618260.1122552607,282425.9696118125,282284.00879999995
1995-07-12,349318.80868689786,628374.8725230419,625877.7350149099,284792.73212499294,285411.98759999993
1995-07-13,347067.74330491596,628608.5684132781,622190.8549431512,284636.50289940176,285476.0011999999
1995-07-14,344359.8152966292,626074.9201995606,615186.7483337399,283706.64044797403,284911.98759999993
1995-07-17,342953.70957428205,632359.0493792879,614476.5269677683,283710.3002490476,286352.0019999999
1995-07-18,336803.02767323575,622853.3245791383,598123.2947973707,282058.7576052479,284211.98759999993
1995-07-19,335042.30706034554,606245.6451764115,589233.4174057262,280921.6537781104,280435.98639999994
1995-07-20,330535.24333082174,611857.5891040236,586880.4630742711,277664.22133299545,281743.9943999999
1995-07-21,332843.69743207586,612019.1176494246,590783.2246880751,278206.0799168227,281791.99239999993
1995-07-24,335834.3751875692,618613.1597640692,598053.6691550827,279683.5479296764,283319.99519999995
1995-07-25,335035.14183678385,628510.3265336341,600674.7292121698,279714.01493948855,285595.9964
1995-07-26,338835.57901399676,629677.4623741236,604996.774538956,281575.2585903672,285871.9971999999
1995-07-27,337344.4980098095,637915.7512676792,605713.610348986,281332.99456379435,287752.0019999999
