,GLD,COM,SP500TR,LTB,ITB
2011-12-28,-0.3327453728700761,-0.8574514270878941,-0.5323205975447391,-0.17777285464581216,-0.010648084051768314
2011-12-29,-0.3667752935102533,-0.8573014542816182,-0.5223144117065696,-0.16898069651486936,-0.006239983273531369
2011-12-30,-0.3668240031030603,-0.8577073882493856,-0.526396354929556,-0.21832740501671255,-0.011751685145462432
2012-01-02,-0.3668727089489755,-0.8577183338349049,,,
2012-01-03,-0.3115072653913067,-0.8481816042931601,,,
2012-01-04,-0.2986348308525809,-0.8465533711803075,-0.5113982049972233,-0.24670994298355742,-0.010988128248720419
2012-01-05,-0.31086375085770734,-0.8506089791736813,-0.5085620503333643,-0.22840391453906483,-0.008840472776453279
2012-01-06,-0.29583247821146874,-0.8503562540273478,-0.5107222321646543,-0.23411921917614353,-0.0073783214371581085
2012-01-09,-0.29719348228716536,-0.850205406319502,-0.5085218674741281,-0.2331117430663745,-0.008668528932898378
2012-01-10,-0.2780998744945653,-0.8476759069277251,-0.4998113278750942,-0.20208653405491617,-0.005235914818061405
2012-01-11,-0.2803603537325384,-0.8500601422778786,-0.4994442129856229,-0.21170930889988693,-0.006826391377374397
2012-01-12,-0.2570808062220573,-0.853863304041318,-0.49711122240287897,-0.17593904132016214,-0.001608601178289537
2012-01-13,-0.27994883818869665,-0.855716744508391,-0.5021251597741203,-0.16968726722788086,-0.0012315154735076383
2012-01-16,-0.2751613268435952,-0.8557278432203519,,,
2012-01-17,-0.2619659196215286,-0.8521851063451666,,,
2012-01-18,-0.2700448010431966,-0.8532050756963155,-0.48736665664743994,-0.23847017502196255,-0.00846820775759749
2012-01-19,-0.263009704823014,-0.8521173511177501,-0.4823153562742152,-0.26569449502128983,-0.012405656705321899
2012-01-20,-0.26484764181059106,-0.8556062393602467,-0.4816355039396992,-0.28473161031522876,-0.014370594340690324
2012-01-23,-0.2448909698997198,-0.8525863531593194,-0.48117092511300397,-0.2892258689654006,-0.013401167918965395
2012-01-24,-0.2539625918268602,-0.8526030203719026,-0.48224323028340144,-0.28579561602978387,-0.003888061309903823
2012-01-25,-0.2679059953230193,-0.851419291148946,-0.4732947646132776,-0.26080555566434915,-0.0005502923549131067
2012-01-26,-0.19963353647660442,-0.8498969480461163,-0.4793400245074032,-0.24952991808826908,0.0
2012-01-27,-0.20062198959379796,-0.849135041364008,-0.48098398202659143,-0.21334918677485704,0.0
2012-01-30,-0.19790464587485135,-0.8515997253833616,-0.4836071723817198,-0.19072805731408304,0.0
2012-01-31,-0.18404913289529312,-0.8518516281138229,-0.48411828711425464,-0.22793679956365476,-0.0014104770397207478
2012-02-01,-0.18785479223241042,-0.8518238684130314,-0.47475827909294044,-0.22611863702602952,-4.3806684111635796e-05
2012-02-02,-0.1776487623137537,-0.8532057927822259,-0.4735618952307742,-0.28685824631379553,-0.007380842025831003
2012-02-03,-0.19368000529905915,-0.8493251058927739,-0.45809279506496503,-0.2602121421010457,-0.004243757899048628
2012-02-06,-0.2076922028327377,-0.8483843941384689,-0.4585750104010339,-0.28256456849153067,-0.009482241128181301
2012-02-07,-0.20314402918399688,-0.8466464037254637,-0.4564055791620556,-0.2824490689058943,-0.010873579337141503
2012-02-08,-0.18286793443060267,-0.8459781519035794,-0.45370622950112016,-0.30212244883457373,-0.014704505790658184
2012-02-09,-0.18105878142931942,-0.8437695294076483,-0.45212499807619366,-0.27427827403352467,-0.009330464785692438
2012-02-10,-0.21532241132166396,-0.8472417984937498,-0.45968710605067375,-0.2825905413420934,-0.012874283067687564
2012-02-13,-0.20758871971489123,-0.8444398524155546,-0.4521442811830897,-0.2496466616285452,-0.009554705554201126
2012-02-14,-0.20580685749786376,-0.8451371537516084,-0.4530391600952016,-0.2616970585971403,-0.007999000291511238
2012-02-15,-0.19572146313691385,-0.8432123259689995,-0.4585978993947931,-0.28535773322365054,-0.015265894380898204
2012-02-16,-0.21434717461426256,-0.84159046689599,-0.4465390407994295,-0.2902834805814588,-0.015377446604765033
2012-02-17,-0.20523478019554597,-0.8406598368772561,-0.4439542044538791,-0.30246859324959197,-0.018893550899615863
2012-02-20,-0.1960705506908612,-0.8406720938128809,,,
2012-02-21,-0.18221555155663827,-0.8353656329126525,,,
2012-02-22,-0.17853573746483065,-0.8338800647498348,-0.44688930428478824,-0.2745873697125394,-0.016869702270298048
2012-02-23,-0.15515531222510937,-0.8317013817157008,-0.4419913950109928,-0.26345330299239766,-0.018242097385671174
2012-02-24,-0.15474486713914326,-0.828012972155116,-0.4400238799804608,-0.23903732122705135,-0.013473904149658877
2012-02-27,-0.1600407202170513,-0.8298987837071967,-0.43844825720900726,-0.24643914887051666,-0.012509969306673474
2012-02-28,-0.15157301472888352,-0.8338133816754821,-0.434539161760121,-0.2581041919114533,-0.016429146982895437
2012-02-29,-0.16211856676310432,-0.8338079679516714,-0.43974926381246626,-0.28815911346008427,-0.018776681064046508
2012-03-01,-0.2152015053519677,-0.8292426613057114,-0.432821390247913,-0.2700239645125182,-0.013619838529404515
2012-03-02,-0.22167213054924673,-0.8334772796050848,-0.43650114411424934,-0.2804536026962976,-0.016267256944793584
2012-03-05,-0.22355585164719605,-0.8339290247393976,-0.4408418529003232,-0.25435716640183037,-0.011293691437970654
2012-03-06,-0.25640383541129097,-0.8390499197928676,-0.45804051827555103,-0.27055775148015293,-0.013949728640738956
2012-03-07,-0.24888695794549354,-0.8369155835150038,-0.4502731124347311,-0.29312798982699395,-0.01679225837110143
2012-03-08,-0.23775080081883226,-0.8345542587266905,-0.4394145842928635,-0.3008597100084963,-0.01933224002881684
2012-03-09,-0.24006461051812178,-0.832764312677694,-0.43538720739430037,-0.29297724470561026,-0.0195344721180587
2012-03-12,-0.2311164254334248,-0.834344148547586,-0.4351726275715698,-0.3234683442414438,-0.02573692901265867
2012-03-13,-0.23796982871464434,-0.8323466650683649,-0.4143394009410708,-0.3848683320904439,-0.039160586142791165
2012-03-14,-0.2792412024292885,-0.835152597658126,-0.4157514653337083,-0.3865566550384377,-0.03754606935473748
2012-03-15,-0.27605294590509744,-0.8361837278345172,-0.40880473481139257,-0.38608960245347534,-0.039725024895938876
2012-03-16,-0.26732286892042967,-0.8317445699155883,-0.4075209116774522,-0.4104652003948053,-0.046810974925481696
2012-03-19,-0.26428589943704306,-0.8308359919128483,-0.4028503664380544,-0.402120382783796,-0.04764834932369044
2012-03-20,-0.268504823581902,-0.8359684503530946,-0.4064668365843338,-0.3744660589348867,-0.041785814257971454
2012-03-21,-0.27518375519287686,-0.8352899213712,-0.4086863809974075,-0.3682685780565359,-0.039410457923186315
2012-03-22,-0.2873688550753144,-0.838787162197577,-0.41719103108702127,-0.3503596470647494,-0.03664688308139097
2012-03-23,-0.262587246526921,-0.8351994518423185,-0.4136216949343978,-0.35626846042969795,-0.03635594625053029
2012-03-26,-0.24819706207332848,-0.834290531606201,-0.39737582008587957,-0.34484471293120167,-0.03052232426772683
2012-03-27,-0.23778522173159955,-0.8347987992664971,-0.40069215662451085,-0.3462610508775632,-0.03128973343258645
2012-03-28,-0.2522592631556989,-0.838859384827824,-0.406374708850036,-0.33350661487246824,-0.029945620101567316
2012-03-29,-0.26882418457561175,-0.8443804815044464,-0.40830490615107173,-0.3614551803339652,-0.03272358408004572
2012-03-30,-0.26446911173230714,-0.8421177587912638,-0.40396714664860167,-0.3588042328724963,-0.030613785136913485
2012-04-02,-0.2512529531980028,-0.8367689202425126,-0.3949841611699535,-0.38499143243028966,-0.038632828742405145
2012-04-03,-0.2523817818592998,-0.8381052082181726,-0.39957135065280414,-0.3741032959068529,-0.03338440388425745
2012-04-04,-0.3017661267976377,-0.8446421163607173,-0.4118431334103134,-0.3526612348663425,-0.029170959063404167
2012-04-05,-0.2932049836322531,-0.842089564543961,-0.41220504746591813,-0.2990437281213779,-0.019138421008983664
2012-04-06,-0.29325935247966606,-0.8421017115005345,,,
2012-04-09,-0.2933137171448599,-0.8440845621955229,,,
2012-04-10,-0.28210269237111574,-0.8488495298836221,-0.44523830896718963,-0.2997154073130409,-0.016837275660635864
2012-04-11,-0.2699309537971324,-0.8465258165342666,-0.4368540832483915,-0.30857553424908124,-0.018015475891603905
2012-04-12,-0.26074015881082946,-0.8429433804764901,-0.4213662900498034,-0.2843463371238296,-0.014613772975610506
2012-04-13,-0.2625692990697843,-0.8453021278462867,-0.4358241217142955,-0.27006483418360683,-0.013063147670198894
2012-04-16,-0.2745735966205981,-0.8482971880622091,-0.43643492129437045,-0.28715441727337787,-0.015419813989160924
2012-04-17,-0.2899893043493158,-0.8468779385541751,-0.41902082731436874,-0.274913255492638,-0.013966164772039047
2012-04-18,-0.28266380326773355,-0.850132857969879,-0.42376694925301706,-0.26762200603805997,-0.012609597654595572
2012-04-19,-0.2774829523420924,-0.8496757228383213,-0.4305982647307218,-0.2755578923648858,-0.013795903813172306
2012-04-20,-0.2849826456130029,-0.8480132985081967,-0.42928224594698317,-0.2566628732514088,-0.010773593934012227
2012-04-23,-0.2959273416538193,-0.8488940679763816,-0.43889833089275443,-0.2694146219081429,-0.013040295663252932
2012-04-24,-0.27826082644684647,-0.8487315527440111,-0.4348117022301925,-0.2828330674687132,-0.013346632161235328
2012-04-25,-0.28855502120803955,-0.8475110792204108,-0.4192734519534499,-0.2781202825922853,-0.013065606467493662
2012-04-26,-0.2749698818674321,-0.8454926706317103,-0.411496857896393,-0.2695701066830226,-0.011512204061902565
2012-04-27,-0.2662560118288595,-0.8444312993308181,-0.40867604937709556,-0.266909738164412,-0.010448113501375422
2012-04-30,-0.27707491433618703,-0.8442454331941348,-0.41328677918334333,-0.288670920243727,-0.01281385128754331
2012-05-01,-0.2660106201394359,-0.8430158790266287,-0.4066859940015052,-0.2688376902656089,-0.011260051650455405
2012-05-02,-0.28018226124289736,-0.8471158739857343,-0.40956987753310325,-0.26790673705248946,-0.011078249268685725
2012-05-03,-0.2891479970509564,-0.8513136120049182,-0.41844516101832585,-0.25014003312797384,-0.007852729847301121
2012-05-04,-0.28399433505364213,-0.8583272798231786,-0.4372434263195454,-0.2483069840933979,-0.007673431946106257
2012-05-07,-0.28404941241248405,-0.8589589761499691,-0.4368728662730539,-0.22872032982350954,-0.005819225532278205
2012-05-08,-0.32008058879213674,-0.860596580936781,-0.4415834449523729,-0.23576850122385762,-0.005542041632003669
2012-05-09,-0.3371043576477494,-0.8607520848936663,-0.44879886736517616,-0.2409851522087002,-0.006940356511108248
2012-05-10,-0.3237508247827833,-0.8611133795792516,-0.4457256410803976,-0.2247973901804643,-0.004394068556583086
2012-05-11,-0.33691746667874933,-0.8632407418549963,-0.4494021756270131,-0.1944646985637184,-0.0017451676539724792
2012-05-14,-0.35749345352825046,-0.8661500304550387,-0.4615701453289518,-0.18597043763920118,-0.0029545979072177486
2012-05-15,-0.35919191540575623,-0.8660184936265837,-0.4676063396825696,-0.1739334528666111,-0.0036675767372347234
2012-05-16,-0.36582837785253164,-0.8671667816425803,-0.4719711176284658,-0.12397004506850406,-0.00269889610822327
2012-05-17,-0.3613722278706538,-0.8683418701577783,-0.48779820547378594,-0.11588181057094882,-0.002719811923500237
2012-05-18,-0.3322433789389888,-0.868819526966569,-0.4954017987122392,-0.11834149625303203,-0.0038283990055476558
2012-05-21,-0.3297741158764107,-0.8670856016867075,-0.4792421666681681,-0.16741061134870927,-0.006710426332883546
2012-05-22,-0.3382429512630839,-0.869381810543419,-0.4787519618980185,-0.11829608850429207,-0.0025819495566006267
2012-05-23,-0.3663113736706415,-0.8743545338092661,-0.4769808363729321,-0.14506493050746339,-0.007044746004735591
2012-05-24,-0.3504054020826789,-0.8733506816055406,-0.475413085286024,-0.14449717229692072,-0.0059792985160787016
2012-05-25,-0.34962707048615016,-0.872650836699197,-0.47772449628758185,-0.14238003292855506,-0.006194899456906877
2012-05-28,-0.3454504003001202,-0.8726606327886816,,,
2012-05-29,-0.34142696259178507,-0.8738348842237956,,,
2012-05-30,-0.3744166976847221,-0.8797201714542786,-0.48105003072817243,-0.05351921263948556,0.0
2012-05-31,-0.3598407942282793,-0.8825510246241028,-0.483343460473619,0.0,0.0
2012-06-01,-0.32044505409000945,-0.8885544225167094,-0.5087990355785296,-0.018062646143868433,-0.006067189918216642
2012-06-04,-0.32049732754738725,-0.8872559718788366,-0.5087081472200365,-0.045256281226285555,-0.005007518522358034
2012-06-05,-0.32054959698372965,-0.8869461541879007,-0.5030892167611957,-0.10030128993963938,-0.010548061435568634
2012-06-06,-0.2960638030127063,-0.8839251575627685,-0.4799399935306481,-0.11978559867363658,-0.009489954733333805
2012-06-07,-0.32108938890828354,-0.8840930344911189,-0.48004383259299,-0.12380921153816526,-0.009217109551945768
2012-06-08,-0.34608291171452743,-0.8853600682016781,-0.471625011086259,-0.10195888236422257,-0.007172831334655294
2012-06-11,-0.3399113568131643,-0.8873191556996151,-0.4849474061337963,-0.12717573313737696,-0.012698097021959454
2012-06-12,-0.3237099503599341,-0.8875650046762346,-0.472974127998685,-0.09540772509407314,-0.008890454724302499
2012-06-13,-0.31026569478651667,-0.8888038579792619,-0.48002668851009744,-0.09378223721009293,-0.01009267043258244
2012-06-14,-0.31542947165594926,-0.886883314658712,-0.4688011508537877,-0.08622904713140322,-0.005980430816277971
2012-06-15,-0.3037720927604586,-0.8866009307435377,-0.4578577922373739,-0.07808514730969329,-0.0066963247356019995
2012-06-18,-0.3139227289541793,-0.887061226444711,-0.45631163845688993,-0.10348269960698764,-0.008296817451574068
2012-06-19,-0.3054818207980694,-0.8851815549754789,-0.44565723015129577,-0.10183320220824787,-0.012543508997915898
2012-06-20,-0.32647119776856004,-0.8895073822765688,-0.4475218356043005,-0.08265716660416556,-0.010700650152977165
2012-06-21,-0.3425093252809178,-0.8957715325463576,-0.4719931691238578,-0.11828266985670055,-0.013269957865853721
2012-06-22,-0.3562749408455338,-0.89402110875542,-0.4644598643895752,-0.07921697607868516,-0.009169453847891251
2012-06-25,-0.3526237072587729,-0.8925670818657564,-0.4814623586266815,-0.08773202808840053,-0.010665746522461994
2012-06-26,-0.3477254063823384,-0.8906651403184955,-0.47655112287896395,-0.08494894685084309,-0.01019612827950267
2012-06-27,-0.3498449804425049,-0.889009806563639,-0.4669356246893003,-0.0703013128606893,-0.007661452539281299
